"pop_name","sim","init_total_age1plus","init_vulnerable_ageplus","init_adults_ageplus","adult_frac_within_vulnerable"
"Suwannee",226,10975,3083,2853,0.925397340253
"Suwannee",227,10975,5981,5038,0.842334057849858
"Suwannee",228,10975,5688,5114,0.899085794655415
"Suwannee",229,10975,6410,4646,0.724804992199688
"Suwannee",230,10975,7563,6511,0.860901758561417
"Suwannee",231,10975,4641,4300,0.926524455936221
"Suwannee",232,10975,5093,3051,0.599057529943059
"Suwannee",233,10975,6351,4798,0.755471579278854
"Suwannee",234,10975,5853,5422,0.926362549120109
"Suwannee",235,10975,4645,3726,0.802152852529602
"Suwannee",236,10975,3935,3385,0.860228716645489
"Suwannee",237,10975,5781,4648,0.804013146514444
"Suwannee",238,10975,5658,5158,0.911629551078119
"Suwannee",239,10975,6035,5456,0.904059652029826
"Suwannee",240,10975,4617,4124,0.893220706086203
"Suwannee",241,10975,6168,5025,0.814688715953307
"Suwannee",242,10975,5427,4630,0.853141698912843
"Suwannee",243,10975,4190,2837,0.67708830548926
"Suwannee",244,10975,4862,4596,0.945290004113533
"Suwannee",245,10975,1681,1379,0.82034503271862
"Suwannee",246,10975,7009,6492,0.926237694392923
"Suwannee",247,10975,5898,5288,0.89657511020685
"Suwannee",248,10975,4234,3964,0.936230514879547
"Suwannee",249,10975,5470,4885,0.893053016453382
"Suwannee",250,10975,4308,3754,0.871402042711235
"Suwannee",251,10975,4495,3828,0.851612903225806
"Suwannee",252,10975,6751,5572,0.825359206043549
"Suwannee",253,10975,3187,2718,0.852839661123313
"Suwannee",254,10975,5241,4969,0.948101507345926
"Suwannee",255,10975,4354,3640,0.836012861736334
"Suwannee",256,10975,4653,3920,0.842467225445949
"Suwannee",257,10975,5473,4842,0.884706742188927
"Suwannee",258,10975,4490,4164,0.92739420935412
"Suwannee",259,10975,6823,6257,0.917045287996482
"Suwannee",260,10975,5983,5431,0.907738592679258
"Suwannee",261,10975,6391,6075,0.950555468627758
"Suwannee",262,10975,5125,4788,0.934243902439024
"Suwannee",263,10975,3151,2743,0.870517296096477
"Suwannee",264,10975,4738,3307,0.697973828619671
"Suwannee",265,10975,5233,4852,0.92719281482897
"Suwannee",266,10975,6530,5709,0.87427258805513
"Suwannee",267,10975,6132,5628,0.917808219178082
"Suwannee",268,10975,4704,3920,0.833333333333333
"Suwannee",269,10975,4549,3771,0.828973400747417
"Suwannee",270,10975,5112,4685,0.916471048513302
"Suwannee",271,10975,5332,4746,0.890097524381095
"Suwannee",272,10975,3050,2416,0.792131147540984
